BIOF,20101105,2.18,2.31,2.14,2.17,221800
BIOS,20101105,4.59,4.65,4.46,4.54,526700
BIRT,20101105,5,5.22,4.99,5.19,403900
BIS,20101105,56.85,57.45,56.85,57.45,2800
BITS,20101105,7.1,7.22,7.01,7.1,12700
BJGP,20101105,9.82,9.82,9.81,9.82,1499900
BJRI,20101105,34.35,34.67,34.19,34.65,189800
BKBK,20101105,12.13,12.13,12.1,12.1,200
BKCC,20101105,11.94,12.01,11.82,11.86,927800
BKMU,20101105,5.15,5.2,4.99,5.02,89500
BKYF,20101105,17.9,18.11,17.78,18.11,1300
BLDP,20101105,1.74,1.77,1.74,1.76,121300
BLDR,20101105,2.21,2.22,2.16,2.19,133300
BLIN,20101105,1.5,1.6,1.29,1.44,78600
BLKB,20101105,26.83,26.91,26.4,26.52,231900
BLTI,20101105,1.83,1.83,1.79,1.8,30700
BLUD,20101105,18,18.03,17.79,17.89,758800
BMC,20101105,46.41,46.42,45.81,46.17,1499600
BMRC,20101105,34.45,34.58,33.79,34.57,10500
BMRN,20101105,25.85,25.87,25.58,25.71,581400
BMTC,20101105,17.35,17.41,17.25,17.35,29400
BMTI,20101105,11.85,11.85,11.23,11.56,107500
BNCL,20101105,7.74,7.78,7.69,7.71,207800
BNCN,20101105,8.85,8.9,8.8,8.89,2900
BNHN,20101105,8.31,8.39,8.29,8.3,3200
BNHNA,20101105,8.4,8.45,8.35,8.4,11500
BNSO,20101105,1.4,1.4,1.4,1.4,2000
BNVI,20101105,0.92,0.94,0.91,0.94,90600
BOBE,20101105,30,30.14,29.87,30.03,109500
BOCH,20101105,3.57,3.79,3.56,3.74,17500
BODY,20101105,13.36,14.06,13.15,13.65,97600
BOFI,20101105,14.24,14.31,14,14.16,55500
BOKF,20101105,49.88,51,49.67,50.18,82400
BOLT,20101105,11.74,11.75,11.52,11.72,26300
BONT,20101105,13.13,13.33,12.94,13.18,164300
BOOM,20101105,15.59,15.8,15.5,15.8,51400
BOOT,20101105,15.13,15.45,15.06,15.21,13200
BOSC,20101105,1.84,1.84,1.79,1.83,1300
BOVA,20101105,1.95,1.95,1.95,1.95,100
BPAX,20101105,1.57,1.64,1.56,1.63,402700
BPFH,20101105,5.5,5.91,5.43,5.63,1106200
BPHX,20101105,2.18,2.2,2.13,2.19,68100
BPOP,20101105,2.82,2.9,2.8,2.87,11864500
BPOPM,20101105,18.89,18.89,18.89,18.89,500
BPOPN,20101105,20.92,21.25,20.92,21.25,2100
BRCD,20101105,6.2,6.21,6.06,6.06,14232900
BRCM,20101105,42.41,42.47,41.7,42.34,5127300
BRID,20101105,13.23,13.24,13.14,13.14,800
BRKL,20101105,10.17,10.41,10.06,10.2,264100
BRKR,20101105,15.29,15.39,15.17,15.35,397400
BRKS,20101105,7.5,7.61,7.4,7.48,346300
BRLI,20101105,21.91,22.17,21.71,21.9,182900
BRNC,20101105,4.95,5.44,4.94,5.4,367200
BSDM,20101105,4.87,5.31,4.8,5.06,1334600
BSET,20101105,4.65,4.73,4.61,4.63,3700
BSFT,20101105,9,9.28,9,9.23,28700
BSPM,20101105,3.2,3.2,3.1,3.19,302100
BSQR,20101105,3.95,4.15,3.95,4.05,43800
BSRR,20101105,10.95,11.1,10.88,10.94,30400
BSTC,20101105,25.7,25.78,24.4,24.44,18100
BTFG,20101105,2.92,3,2.92,2.96,13000
BTUI,20101105,7.72,7.86,7.49,7.56,28000
BUCY,20101105,72.37,73.89,72.1,73.77,1629900
BUSE,20101105,4.89,4.89,4.73,4.77,107300
BVSN,20101105,12.84,12.99,12.75,12.97,9000
BWEN,20101105,1.87,1.94,1.81,1.93,775900
BWINB,20101105,25.5,25.5,24.76,24.8,10300
BWLD,20101105,48.85,49.5,48.58,49.19,166100
BWOW,20101105,3.7,3.75,3.7,3.75,8700
BWOWU,20101105,4.8,4.8,4.47,4.47,200
BWOWW,20101105,0.45,0.45,0.4,0.4,1800
BYFC,20101105,2.12,2.22,1.91,1.93,20500
CA,20101105,23.56,23.6,23.26,23.46,2123500
CAAS,20101105,16.9,16.98,16.52,16.88,156800
CABL,20101105,0.57,0.57,0.55,0.56,27100
CAC,20101105,36.5,36.95,35.46,36.74,17300
CACB,20101105,0.5,0.5,0.45,0.49,79000
CACC,20101105,62,62,61.04,61.82,11500
CACH,20101105,5,5.2,5,5.2,17600
CADC,20101105,5.1,5.1,4.87,4.92,119500
CADE,20101105,2.44,2.45,2.44,2.44,22500
CADX,20101105,8.1,8.1,7.69,7.9,451100
CAEI,20101105,0.8,0.82,0.8,0.8,32300
CAFI,20101105,1.75,1.84,1.75,1.84,11800
CAGC,20101105,14,14.85,13.99,14.71,795200
CAKE,20101105,29.78,30.14,29.63,29.8,854200
CALD,20101105,4.8,4.84,4.7,4.76,599100
CALI,20101105,3.2,3.24,3.15,3.22,7500
CALL,20101105,32.47,32.47,30.79,31.74,41000
CALM,20101105,29.01,29.26,28.91,29.09,113300
CALP,20101105,4.99,5.05,4.89,4.93,236600
CALPW,20101105,0.25,0.29,0.2,0.23,1500
CAMP,20101105,2.46,2.77,2.45,2.59,220300
CAMT,20101105,2.79,2.8,2.71,2.76,7900
CAPS,20101105,0.92,0.92,0.88,0.91,13800
CART,20101105,4.9,4.9,4.79,4.84,3800
CARV,20101105,2.47,3.35,2.11,3.27,22900
CASB,20101105,0.5,0.5,0.46,0.47,70900
CASH,20101105,13.11,14.1,13.01,13.91,26200
CASM,20101105,3.4,3.4,3.17,3.4,10500
CASS,20101105,36.19,36.42,36.02,36.24,13800
CAST,20101105,7.66,7.79,7.66,7.7,98200
CASY,20101105,39.75,39.95,39.58,39.75,367400
CATM,20101105,17.93,18.12,17.71,17.86,322200
CATY,20101105,14.33,14.88,14.14,14.59,633700
CAVM,20101105,34.75,35.34,34.4,35.2,866000
CAVO,20101105,2.49,2.55,2.38,2.49,19200
CAZA,20101105,9.67,9.67,9.65,9.65,5100
CAZAU,20101105,10,10.01,10,10.01,7000
CBAK,20101105,1.87,2.2,1.87,2.2,1447600
CBAN,20101105,4,4.86,4,4.86,2400
CBEH,20101105,9.54,9.62,9.1,9.19,346900
CBEY,20101105,13.13,13.18,12.84,13.07,236100
CBIN,20101105,8.94,8.94,8.78,8.78,200
CBKN,20101105,2.74,3,2.55,3,481700
CBLI,20101105,6.5,6.5,6.06,6.28,372100
CBMX,20101105,2.48,2.94,2.3,2.56,61600
CBNK,20101105,12.24,12.24,12.05,12.21,7700
CBOE,20101105,24.09,25,23.98,24.65,474100
CBOU,20101105,11.07,11.5,11.07,11.44,103300
CBPO,20101105,10.27,10.5,10,10.19,33000
CBRL,20101105,55.22,55.74,55.13,55.47,287900
CBRX,20101105,1.36,1.36,1.33,1.33,58400
CBSH,20101105,37.98,39.53,37.73,38.8,604500
CBST,20101105,23.53,23.57,23.2,23.44,616300
CCBG,20101105,12.4,12.5,12.25,12.42,45900
CCBP,20101105,41.25,41.25,40.85,40.85,300
CCCL,20101105,9.4,9.4,8.87,9.05,69400
CCCLW,20101105,3.48,3.48,2.65,2.65,117600
CCIH,20101105,23.55,26.41,23.25,25.89,549900
CCIX,20101105,7.27,7.3,6.31,6.6,256000
CCME,20101105,19.74,19.96,19.01,19.61,1714600
CCMP,20101105,41.3,41.42,40.92,40.99,151200
CCNE,20101105,14.65,14.94,14.54,14.94,15300
CCOI,20101105,11.59,11.88,11.44,11.64,287800
CCRN,20101105,7.71,7.71,7.17,7.27,68300
CCRT,20101105,6.2,6.2,5.87,5.94,33400
CCUR,20101105,4.76,4.83,4.7,4.78,77300
CDCS,20101105,6.92,7.09,6.91,7.02,48400
CDII,20101105,1.31,1.36,1.28,1.33,201600
CDNS,20101105,8.48,8.63,8.4,8.61,6229300
CDTID,20101105,13.79,14.25,12.71,12.99,69700
CDXS,20101105,10.26,10.41,9.87,9.95,188400
CDZI,20101105,11.22,11.69,11.05,11.64,58700
CEBK,20101105,12.99,14,12.9,13.66,4000
CECE,20101105,5.21,5.35,5.21,5.35,11500
CECO,20101105,17.18,17.59,17.13,17.49,1362000
CEDC,20101105,23.65,26.62,23.5,26.19,2695100
CEDU,20101105,7.3,7.42,7.26,7.42,24000
CELG,20101105,62.23,62.29,60.76,61.22,3713700
CELGZ,20101105,4.5,4.6,4.5,4.5,10900
CELH,20101105,1.4,1.42,1.35,1.35,36000
CELHW,20101105,0.45,0.64,0.38,0.44,39700
CELL,20101105,8.95,9.05,8.71,9.03,1024400
CELM,20101105,5.64,5.67,5.5,5.65,134200
CENT,20101105,10.83,10.93,10.8,10.86,144100
CENTA,20101105,11.06,11.06,10.89,10.97,191700
CENX,20101105,14.8,15.09,14.71,14.81,1516300
CEPH,20101105,66.73,66.9,65.93,66.11,1670500
CERN,20101105,87.64,88.37,87.48,87.82,656200
CERP,20101105,2.84,3,2.83,2.89,124600
CERS,20101105,3.33,3.35,3.23,3.23,172800
CETV,20101105,23.8,24.02,22.8,22.91,301100
CEVA,20101105,19.15,19.8,19.07,19.79,416300
CFBK,20101105,1,1,1,1,1500
CFFC,20101105,3.58,3.8,3.32,3.5,3800
CFFI,20101105,19.5,20.13,19.5,20.13,4800
CFFN,20101105,24.51,24.51,24.14,24.3,179400
CFK,20101105,7.14,7.15,6.97,7.15,33900
CFNB,20101105,14.56,14.56,14.43,14.47,600
CFNL,20101105,10.58,10.58,10.41,10.47,96200
CFSG,20101105,8.07,8.18,7.86,8.18,132900
CGEN,20101105,4.27,4.36,4.26,4.35,59900
CGNX,20101105,29.4,29.59,29.01,29.59,212900
CHBT,20101105,13.7,14.05,13.3,13.61,340400
CHCI,20101105,1.12,1.21,1.12,1.21,60800
CHCO,20101105,33.93,35,33.81,34.2,68500
CHDN,20101105,38,38.2,37.59,38.13,17500
CHDX,20101105,14.79,14.79,14.32,14.54,40600
CHEV,20101105,8.76,8.76,8.76,8.76,100
CHFC,20101105,21.5,21.7,21.08,21.42,46100
CHFN,20101105,8.24,8.35,8.24,8.35,7200
CHINA,20101105,4.75,4.75,4.61,4.64,119800
CHIO,20101105,0.12,0.13,0.12,0.13,182300
CHKE,20101105,19.44,20.03,19.29,19.9,65000
CHKP,20101105,42.91,43.6,42.83,43.35,1203800
CHLN,20101105,2.63,2.78,2.54,2.74,182600
CHNG,20101105,6.83,6.99,6.83,6.99,369700
CHNR,20101105,12.47,13.86,12.47,13.3,49300
